Codigo codigo.Huffman

Palabra | Codigo
AAAAAAA | 10110101110
AAAAAAB | 000110001
AAAAAAC | 11110001111
AAAAABB | 10110101000
AAAAACA | 11011000011
AAAAACB | 1110111111
AAAAACC | 0000100000
AAAABAA | 100011001
AAAABAB | 10110101001
AAAABAC | 11001010100
AAAABBA | 100110010
AAAABBB | 100010110
AAAABBC | 1100011110
AAAABCC | 0000100001
AAAACAA | 11011111000
AAAACAB | 10110101100
AAAACAC | 11100010110
AAAACBA | 0001100001
AAAACBB | 11011110011
AAAACCA | 11001010101
AAABAAC | 101100111
AAABABA | 00001010
AAABABB | 110011010
AAABACA | 11010000010
AAABACB | 11010000011
AAABBAB | 11101000110
AAABBBA | 100100110
AAABBBB | 1100110010
AAABBBC | 001000110
AAABBCB | 11011111001
AAABCAB | 1011011100
AAABCBA | 10110101101
AAABCBB | 0001101111
AAABCCB | 11100010111
AAACAAB | 0011100101
AAACABA | 0001100100
AAACACA | 0100100011
AAACACB | 0001101010
AAACBAA | 000111101
AAACBAB | 1100100100
AAACBAC | 11110110000
AAACBBA | 11110111001
AAACBBB | 11001111011
AAACBBC | 11111100101
AAACBCB | 11111110111
AAACCCA | 0001011101
AAACCCB | 0100110010
AABAAAB | 100010101
AABAABA | 10000001
AABAABB | 11101101110
AABAABC | 0100000111
AABAACA | 11101000111
AABAACB | 011010101
AABAACC | 11101110001
AABABAA | 010010101
AABABAB | 100011010
AABABBA | 100001111
AABABBB | 101011111
AABABBC | 1100010110
AABACAA | 000011010
AABACAB | 0011111011
AABACAC | 1111111110
AABACBA | 01110010
AABACCA | 0101010010
AABBAAA | 10100101
AABBAAB | 11000011111
AABBAAC | 01101100
AABBABB | 101000101
AABBACA | 0010100100
AABBBAA | 101010011
AABBBAB | 0011000101
AABBBAC | 0001100101
AABBBBA | 1011110010
AABBBBB | 1101001001
AABBBCA | 0101110101
AABBBCC | 0001101011
AABBCAC | 000111100
AABBCBA | 11010101001
AABBCBB | 100100101
AABBCBC | 11011000100
AABCAAB | 1101100101
AABCAAC | 100001100
AABCABA | 011100111
AABCABB | 101011011
AABCACA | 11110111011
AABCACB | 11110110111
AABCBAA | 11010100011
AABCBAC | 0010010100
AABCBBB | 11001001110
AABCBCA | 10111011100
AABCCBB | 0101101111
AACAAAA | 100100011
AACAAAB | 11110010110
AACAABA | 0100110011
AACAABC | 11001010010
AACAACA | 0111100010
AACAACB | 0111100011
AACABAB | 0101001010
AACABAC | 0111011111
AACABBB | 11101101111
AACABCA | 0100001110
AACACAA | 0100001000
AACACAC | 0101000111
AACACBA | 010010100
AACBAAA | 11101011100
AACBAAB | 0100000101
AACBAAC | 11101011010
AACBABA | 011100000
AACBABB | 11010100000
AACBACB | 11101010101
AACBBAA | 0111000011
AACBBBA | 0100110000
AACBBBB | 0100110001
AACBBBC | 1011101100
AACBBCC | 0101011100
AACBCAA | 11000110011
AACBCAB | 011011110
AACBCAC | 1101011001
AACBCBB | 1111001001
AACCABA | 11011011000
AACCACA | 11111111011
AACCBAA | 0000110010
AACCBAC | 11110001001
AACCBBB | 1011011010
AACCBBC | 1110000101
AACCBCB | 0100011010
AACCCAA | 0100010010
AACCCCC | 0101010011
ABAAAAA | 01100010
ABAAAAB | 100011110
ABAAAAC | 1100101111
ABAAABA | 100110101
ABAAABB | 00000010
ABAAABC | 1111100011
ABAAACA | 1100100011
ABAAACB | 001011101
ABAAACC | 0010101110
ABAABAA | 00010000
ABAABAB | 00101100
ABAABBA | 001101011
ABAABBB | 100110001
ABAABBC | 001011110
ABAABCA | 0110100110
ABAABCB | 11001000100
ABAACAA | 0011110001
ABAACAB | 011001110
ABAACAC | 10111101001
ABAACBA | 1100001000
ABAACBB | 00100000
ABAACCB | 0111010100
ABABAAA | 100011111
ABABAAB | 10110010
ABABABA | 1111001100
ABABABB | 1100111001
ABABABC | 000111010
ABABACA | 010101100
ABABBAA | 010001110
ABABBAB | 11110100110
ABABBBA | 10000100
ABABBBB | 101001100
ABABBBC | 100001110
ABABCAA | 001001000
ABABCAB | 000101000
ABABCBA | 11110110001
ABABCBB | 110111001
ABABCCA | 0000010010
ABACAAA | 101111110
ABACAAB | 010000110
ABACAAC | 11010100110
ABACABA | 101100000
ABACABC | 11010100100
ABACACB | 11011011010
ABACBAA | 01000000
ABACBAB | 11111001111
ABACBBB | 0000111110
ABACBCB | 0010010101
ABACCAA | 0101111101
ABACCAB | 11001001111
ABACCAC | 11000101111
ABACCBC | 10111011101
ABBAAAA | 10111011111
ABBAAAC | 101011110
ABBAABA | 110100111
ABBAABC | 001111111
ABBAACA | 1101000101
ABBABAA | 111111010
ABBABAB | 110101101
ABBABBA | 11011111110
ABBABBB | 101011000
ABBABCB | 11001010011
ABBACAA | 001001101
ABBACAC | 011101101
ABBACBA | 11010111100
ABBACBB | 1101000111
ABBACBC | 11111101111
ABBBAAA | 100101101
ABBBAAB | 100101000
ABBBAAC | 0110100010
ABBBABA | 0000000001
ABBBABB | 00001011
ABBBABC | 101100011
ABBBACA | 0100001111
ABBBACB | 10111111111
ABBBBAA | 010111101
ABBBBAB | 1011111001
ABBBBAC | 01100101
ABBBBBB | 10000011
ABBBBBC | 11101011101
ABBBBCA | 1011100110
ABBBBCB | 11101100100
ABBBBCC | 11101010000
ABBBCAB | 001110100
ABBBCAC | 001110011
ABBBCBA | 111000001
ABBBCBB | 0111000110
ABBBCBC | 011100010
ABBCAAA | 11010100001
ABBCABA | 1011110011
ABBCABB | 0110111001
