Codigo codigo.Huffman

Palabra | Codigo
ABBCACB | 11000000100
ABBCBAA | 1101101001
ABBCBAB | 100111100
ABBCBBA | 100011011
ABBCBBC | 010110011
ABBCBCA | 11001100110
ABBCBCC | 11011100010
ABBCCBA | 11000001011
ABBCCCB | 0101011101
ABBCCCC | 11000000000
ABCAAAA | 11110011100
ABCAAAB | 11111110010
ABCAABA | 1100101000
ABCAABB | 101001101
ABCAABC | 11000110000
ABCAACC | 11110010001
ABCABBA | 0001110011
ABCABBB | 11101111010
ABCACAA | 0000110000
ABCACBB | 1011101001
ABCACBC | 11011011001
ABCACCA | 000011011
ABCBAAA | 1111011110
ABCBAAC | 11111111001
ABCBABA | 0000110011
ABCBABC | 11110001000
ABCBACC | 001111100
ABCBBAA | 001001100
ABCBBAB | 101000000
ABCBCBA | 0100011011
ABCBCBC | 0111001101
ABCBCCA | 0000010001
ABCCABC | 0100010011
ABCCBAA | 0100011001
ABCCBAB | 1101110110
ABCCBAC | 11101111000
ABCCBCA | 11100110111
ABCCCAC | 11110011011
ABCCCBB | 11100111110
ABCCCCB | 11100111111
ACAAAAB | 11011010111
ACAAABA | 0100100100
ACAAABB | 0101110001
ACAAABC | 0101110011
ACAAACB | 1111100001
ACAAACC | 11111000101
ACAABAC | 11001000011
ACAABBC | 11111011110
ACAABCA | 10111110101
ACAABCB | 0110011110
ACAACAA | 10110111111
ACAACCC | 0011001101
ACABAAA | 101000100
ACABAAC | 1110010100
ACABABA | 11100011110
ACABABB | 11100011111
ACABABC | 0010100101
ACABBAA | 0011010101
ACABBAB | 001101110
ACABBBB | 10111101110
ACABBBC | 11100011100
ACABBCA | 11100011101
ACABBCC | 0010110101
ACACAAA | 11011101001
ACACAAB | 0010110110
ACACAAC | 0011011110
ACACABB | 0110100111
ACACACA | 11100011001
ACACBAB | 11001000101
ACACBCB | 0011101011
ACACCAB | 11001000000
ACACCCB | 0011011011
ACACCCC | 0011011000
ACBAAAA | 001111001
ACBAAAB | 011011010
ACBAABA | 000110110
ACBAACA | 0100111000
ACBAACB | 0100111001
ACBABAA | 11000101001
ACBABBB | 10001110
ACBABCA | 0111010101
ACBACAA | 10111001110
ACBACAB | 11011110111
ACBBAAA | 11011110101
ACBBABB | 10111000101
ACBBABC | 11011101111
ACBBACA | 11000011011
ACBBACB | 10111000001
ACBBBAC | 11000011001
ACBBBBA | 1011100011
ACBBBBB | 0100111110
ACBBBCB | 11010101000
ACBBCAB | 0100111100
ACBBCBB | 0100111101
ACBBCBC | 0111101111
ACBCAAB | 10111100001
ACBCABA | 011101000
ACBCABB | 11110100111
ACBCBAB | 10111110000
ACCAAAC | 11111011001
ACCAABA | 011110011
ACCABAC | 11011000101
ACCACCB | 0110001110
ACCBAAC | 0100110110
ACCBABA | 1101110000
ACCBBAB | 11110100010
ACCBBBB | 0101000011
ACCBBCC | 0000010101
ACCBCBB | 11000001100
ACCCBAA | 11101110111
ACCCBBA | 11111010000
ACCCBCA | 0000000111
BAAAAAA | 00010101
BAAAAAB | 1110110101
BAAAAAC | 11110101111
BAAAABA | 000001111
BAAAABB | 010100111
BAAAABC | 010100010
BAAAACA | 11110000000
BAAAACB | 10110110111
BAAABAA | 101011001
BAAABAB | 000001100
BAAABBA | 101100110
BAAABBB | 110011000
BAAABCA | 1110101111
BAAACAA | 000101101
BAAACAB | 001001111
BAAACBA | 1011011000
BAAACBB | 100010011
BAAACBC | 10110110011
BAAACCB | 0000111111
BAABAAA | 111111000
BAABAAB | 1101101111
BAABABB | 10000000
BAABABC | 0101111110
BAABACA | 11100100110
BAABACB | 100101010
BAABBAA | 110010110
BAABBAB | 110001001
BAABBAC | 11010001000
BAABBBA | 10110100
BAABBBB | 11011001110
BAABBBC | 001000111
BAABBCB | 101010100
BAABBCC | 11110011110
BAABCAA | 100110011
BAABCAB | 0001011110
BAABCBA | 0001011100
BAABCCA | 11110010111
BAACAAB | 11111001010
BAACAAC | 0010001011
BAACABA | 11001101101
BAACABB | 1011101101
BAACACB | 0001001100
BAACBAB | 100100001
BAACBAC | 1100100110
BAACBBA | 11011111111
BAACCAA | 11001110110
BAACCBA | 11001110111
BAACCBB | 0001001011
BABAAAA | 100100010
BABAAAB | 011010000
BABAAAC | 11111110100
BABAABA | 100010100
BABAABB | 11010111101
BABAABC | 100010111
BABAACA | 11010111110
BABAACC | 11111101110
BABABAA | 0111101010
BABABAB | 101011010
BABABAC | 100001101
BABABBA | 11110101011
BABABBB | 011000110
BABABBC | 100010001
BABABCA | 0101001011
BABABCB | 11010111000
BABACAA | 111000011
BABACAB | 1101100011
BABACAC | 1111101101
BABACBA | 101001000
BABACBC | 1110111110
BABACCA | 1111111000
BABACCB | 010010110
BABBAAA | 1011100001
BABBAAB | 1110100101
BABBAAC | 100100100
BABBABA | 1110110110
BABBABB | 100101111
BABBABC | 0100001001
BABBACB | 011010010
BABBACC | 0100001010
BABBBAB | 01011010
BABBBBA | 111001100
BABBBBB | 11111101100
BABBBBC | 11111111111
BABBBCA | 1011100100
BABBBCB | 0110000110
BABBBCC | 0001011000
BABBCAA | 001010000
BABBCAB | 0001011001
BABBCBB | 100111011
BABBCBC | 11101100101
BABBCCB | 11101010001
BABCAAA | 0100000100
BABCAAB | 0110101100
BABCAAC | 100111000
BABCABA | 001010100
BABCABB | 001100100
BABCACA | 11101011011
BABCBAA | 11101110011
BABCBAB | 0111000111
BABCBBA | 11101110000
BABCBBB | 001010011
BABCBCA | 1110010111
BABCCAB | 1101001011
BABCCBA | 001011100
BACAAAA | 1110010001
BACAAAC | 11101010110
BACAABA | 001111011
BACAABB | 100111010
BACAACA | 11000000101
BACAACB | 11010000001
BACABAB | 11000000110
BACABBB | 0111000010
BACABCC | 11101011000
BACACAB | 0111100000
BACACBA | 0111100001
BACBAAA | 0001010011
BACBAAB | 010101010
BACBAAC | 11001100111
BACBABA | 11001010110
BACBABB | 1100111010
BACBACA | 11011100011
BACBACC | 11000001010
BACBBAA | 1101111110
BACBBAB | 000100100
BACBBBA | 11000001000
BACBBCB | 11000001001
BACBCAA | 1111100100
BACBCAB | 11000000001
BACBCAC | 1111001010
BACBCBA | 11110011101
BACBCBB | 11111110011
BACBCBC | 11000110010
BACBCCA | 11000110001
BACCAAB | 11010110000
BACCABA | 11010110001
BACCABB | 11110010000
BACCABC | 11110100100
BACCACA | 11110100101
BACCBBB | 000111000
BACCCBA | 0001110010
BACCCCB | 11101111011
BBAAAAA | 0111110
BBAAAAB | 11010101010
BBAAABA | 11010101011
BBAAABB | 1011101000
BBAAABC | 101000010
BBAAACA | 10000101
BBAAACB | 0000110001
BBAABAA | 00001110
BBAABAB | 000011110
BBAABAC | 11111111010
BBAABBA | 1100111110
BBAABBB | 1101101110
BBAABBC | 11111111000
BBAABCA | 101011100
BBAACAC | 0011111010
BBAACCB | 11110001010
BBAACCC | 11110001011
BBABAAA | 00011111
BBABAAB | 001001110
BBABAAC | 11000100010
BBABABA | 1011101010
BBABACA | 11000100011
BBABACB | 1100111100
BBABBAA | 0001110110
BBABBAB | 0001110111
BBABBBA | 0111001100
BBABBBB | 111110101
BBABBBC | 0000010000
BBABBCB | 1100010000
BBABBCC | 011101100
BBABCAA | 1111010110
BBABCAB | 101010110
BBABCAC | 0100011000
BBABCBA | 010001000
BBABCCB | 000000010
BBABCCC | 11101111001
BBACAAA | 10100100110
BBACAAB | 10100100111
BBACABA | 1010010010
BBACABB | 10110101010
BBACABC | 10110101011
BBACACA | 11100111101
BBACACB | 11011010101
BBACBAB | 011101011
BBACBAC | 1110011010
BBACBBB | 0100100111
BBACBBC | 0110010001
BBACBCA | 0100100101
BBACBCB | 11101001111
BBACBCC | 0000001101
BBACCBB | 0101110000
BBACCBC | 0101110010
BBACCCA | 011001001
BBBAAAB | 010011101
BBBAABA | 1100011100
BBBAABB | 100111101
BBBAABC | 000000111
BBBAACA | 1111100000
BBBAACB | 11001000010
BBBABAA | 0110110111
BBBABAB | 100110111
BBBABBA | 11111011111
BBBABBC | 10111110100
BBBABCA | 0110011111
BBBABCB | 11000111011
BBBABCC | 10110111110
BBBACBA | 1100011111
BBBACBB | 0011001111
BBBACBC | 0011001100
BBBACCC | 11100011011
BBBBAAA | 01111111
BBBBAAB | 101010001
BBBBAAC | 0010101111
BBBBABA | 1110010101
BBBBABB | 001100011
BBBBABC | 101000111
BBBBACB | 001110111
BBBBBAA | 100100111
BBBBBAB | 0010101011
BBBBBAC | 0011010100
BBBBBBA | 100111001
BBBBBBB | 10000010
BBBBBBC | 101010010
BBBBBCA | 001010110
BBBBCAA | 00111000
BBBBCAB | 000100011
BBBBCBA | 10111101111
BBBBCBB | 0011010001
BBBBCCC | 11011101010
BBBCAAB | 11011101011
BBBCAAC | 0010110100
BBBCABB | 11011101000
BBBCACA | 000100010
BBBCBAC | 0011101101
BBBCBBA | 0011000100
BBBCBBB | 1110001010
BBBCBCB | 0010110111
BBBCCAA | 1101001010
BBBCCAB | 0011011111
BBBCCBA | 11100100000
BBBCCCB | 11100100001
BBBCCCC | 001100101
BBCAAAA | 0001100000
BBCAAAB | 11111011101
BBCAAAC | 0001100111
BBCAACB | 0010100011
BBCABAB | 101010000
BBCABBA | 11001000001
BBCABBC | 001111010
BBCACAB | 10111101010
BBCACBB | 10111101011
BBCACCB | 0011011001
BBCBAAA | 11000011101
BBCBAAB | 11010010000
BBCBABA | 11010010001
BBCBABB | 11011010001
BBCBBBA | 11100000011
BBCBBBB | 00100001
BBCBCAB | 0100100010
BBCBCAC | 0100100001
BBCBCBB | 11000101010
BBCBCCA | 11000101011
BBCBCCB | 11000101000
BBCCAAA | 11001011100
BBCCAAB | 11001011101
BBCCAAC | 11100010001
BBCCABA | 0101110100
BBCCABB | 11100010010
BBCCBBB | 11100010011
BBCCCAB | 10111001111
BBCCCCA | 11011110110
BCAAAAA | 010101000
BCAAAAB | 11011110100
BCAAABA | 11011110000
BCAAABB | 11011110001
BCAAABC | 11011101110
BCAABBB | 100111111
BCAABBC | 010110010
BCAABCB | 100111110
BCAABCC | 10111000000
BCAACAA | 1110100110
BCABAAA | 1011011110
BCABAAB | 11000011000
BCABABA | 0110011010
BCABABB | 0110011011
BCABACA | 0101011010
BCABBAA | 0101011011
BCABBAB | 1101001101
BCABBAC | 0100111111
BCABBBA | 101001111
BCABBBB | 101010111
BCABBBC | 11011111010
BCABBCA | 1110000100
BCABBCC | 11011111011
BCABCAB | 0111101110
BCABCBB | 010001111
BCABCCA | 10111100000
BCACAAC | 0011111100
BCACACA | 0011111101
BCACBAA | 0100101110
BCACBAB | 0100101111
BCACBAC | 0101111000
BCACBBB | 0101111001
BCACCAB | 10111110001
BCBAAAA | 011101001
BCBAAAB | 0111100100
BCBAAAC | 0111100101
BCBAABA | 0000100010
BCBAABB | 0000100011
BCBABBB | 11011001000
BCBABBC | 11011001001
BCBABCB | 011110110
BCBACAB | 0110001111
BCBACAC | 010011010
BCBACBB | 0100110111
BCBBAAA | 001000100
BCBBAAC | 11110100011
BCBBABA | 0000010111
BCBBACA | 0101000010
BCBBACB | 0000010100
BCBBBAA | 1100111000
BCBBBAB | 100101001
BCBBBBB | 101001110
BCBBBBC | 11000001101
BCBBBCB | 11101110110
BCBBCAB | 10110111010
BCBBCBA | 10110111011
BCBBCCA | 11111010001
BCBCAAB | 0000000110
BCBCAAC | 0000100100
BCBCABB | 0000100101
BCBCACC | 0000010011
BCBCBAB | 11110100000
BCBCBAC | 11110100001
BCBCBBB | 11110101110
BCBCCAC | 0110101000
BCBCCBA | 0110101001
BCCAABB | 100100000
BCCABAA | 11110111000
BCCABAC | 011010111
BCCABBA | 11010100111
BCCABBB | 0100010110
BCCABCA | 0100010111
BCCABCB | 11110000001
BCCACAB | 10110110110
BCCACBC | 0100010101
BCCBAAB | 000001110
BCCBABA | 11010100101
BCCBABB | 10111010111
BCCBBCA | 1100011011
BCCCAAA | 1110100001
BCCCACC | 11010101100
BCCCBAB | 11010101101
BCCCBBA | 11010101111
BCCCBCB | 11001111010
BCCCCCB | 11011011011
CAAAAAA | 11110110101
CAAAAAB | 0110111010
CAAAABB | 1011111110
CAAAACA | 0110111011
CAAAACB | 1110110011
CAAABAA | 1101000011
CAAABAB | 101100001
CAAABBB | 11111001101
CAAACAB | 10110110010
CAABAAA | 100010010
CAABAAB | 0000100111
CAABAAC | 11110111110
CAABABA | 11110111111
CAABABB | 11111100100
CAABACA | 1111000010
CAABBAA | 1100111111
CAABBAB | 11110001100
CAABBAC | 11110001101
CAABBBB | 0101111100
CAABBBC | 001001011
CAABBCB | 0101111111
CAABBCC | 1111110011
CAABCBA | 11100100111
CAABCBB | 100101011
CAABCBC | 11110000110
CAACABA | 11110000111
CAACBBB | 11000010101
CAACBBC | 11011001101
CAACBCC | 1110010010
CAACCBA | 11010001001
CABAAAB | 010110000
CABAABA | 11011001111
CABAACB | 0110111111
CABABAA | 11001001010
CABABAB | 11001001011
CABABBA | 0101101100
CABABCB | 0101101101
CABACAA | 1100110111
CABACCB | 0101101110
CABBAAA | 11110011111
CABBAAC | 0101011110
CABBABB | 100101100
CABBACC | 0101011111
CABBBAA | 100110100
CABBBAB | 0001011111
CABBBBA | 01111110
CABBBBB | 10111011110
CABBBCB | 11111001011
CABBCAA | 0110111110
CABBCAB | 100011000
CABBCAC | 0010001010
CABBCBB | 11001101100
CABBCCA | 11011001100
CABBCCC | 11000101110
CABCAAA | 11000010100
CABCABA | 0001001101
CABCABB | 010110001
CABCACA | 0001001110
CABCBBA | 100010000
CABCCBA | 0001001111
CABCCBB | 11000010110
CACAAAB | 11000010111
CACAABB | 11111110110
CACAABC | 1111010100
CACAACA | 1110011101
CACABAA | 1111000001
CACABBB | 0000100110
CACABCC | 0001001010
CACACAB | 11111001100
CACACBA | 11111001110
CACACBB | 11010100010
CACACCA | 11100111000
CACBACA | 11110110100
CACBACC | 11100111001
CACBBAA | 11110110110
CACBBBB | 11111110101
CACBBBC | 11010101110
CACBCAB | 11110001110
CACCAAC | 10111010110
CACCABA | 0111011100
CACCACA | 0100010100
CBAAAAA | 1100011010
CBAAAAB | 0111011101
CBAAAAC | 11010111111
CBAAABA | 1110100010
CBAAABC | 11110111010
CBAABAA | 010100110
CBAABAB | 1101000110
CBAABAC | 0111101011
CBAABBB | 1111101001
CBAABBC | 11110101010
CBAABCB | 1101000010
CBAABCC | 0111101000
CBAACAA | 0111101001
CBAACBA | 1111011001
CBAACBB | 1100000111
CBAACBC | 11010111010
CBABAAA | 1110111010
CBABAAB | 11010111011
CBABABA | 11010111001
CBABABB | 0000010110
CBABACB | 001001001
CBABACC | 0111011110
CBABBAB | 0110100011
CBABBBA | 1101100000
CBABBBB | 101010101
CBABBBC | 0000000000
CBABBCB | 11101100010
CBABCAB | 11011000010
CBABCAC | 11101100011
CBABCCB | 11111011000
CBACAAB | 11101001000
CBACABA | 101011101
CBACBAA | 11101001001
CBACBAB | 101000011
CBACBBA | 000000001
CBACBBB | 1011110001
CBACBCB | 0110000010
CBACCAC | 0110000011
CBBAAAA | 101000001
CBBAAAB | 011001100
CBBAABB | 101100010
CBBAACB | 10111111110
CBBABAA | 1101001100
CBBABAB | 100101110
CBBABBB | 0100000110
CBBABCB | 11000011010
CBBACAA | 0000011010
CBBACAC | 10111000100
CBBACBA | 0000011011
CBBACBB | 11011110010
CBBBAAA | 000110100
CBBBAAB | 0100001011
CBBBABA | 0101000110
CBBBACB | 010111011
CBBBACC | 11111101101
CBBBBAA | 1011100101
CBBBBAB | 11111111110
CBBBBBA | 11100010000
CBBBBBB | 1110000000
CBBBBBC | 11101000000
CBBBBCA | 11101000001
CBBBBCB | 0100100000
CBBBBCC | 0110000111
CBBBCAB | 100110110
CBBBCBA | 11100000010
CBBBCCB | 11011010000
CBBBCCC | 0110000100
CBBCAAA | 11000011100
CBBCAAB | 0110000101
CBBCABC | 10111101000
CBBCACA | 0110000000
CBBCBAA | 0011011010
CBBCBBA | 0110000001
CBBCBCA | 0011110000
CBBCBCB | 0010100010
CBBCCAC | 0011101010
CBBCCBA | 0001100110
CBCAAAA | 11111011100
CBCAAAB | 101000110
CBCAAAC | 0110101101
CBCAABC | 11101100000
CBCAACC | 11100011000
CBCABAB | 11101100001
CBCABAC | 11101010010
CBCABBA | 00110000
CBCACBC | 11101010011
CBCBAAA | 11101110010
CBCBABB | 0011101100
CBCBBAB | 1110010110
CBCBBBA | 1011110110
CBCBBBB | 100110000
CBCBCBA | 0011010000
CBCCAAA | 001101001
CBCCBCB | 0011100100
CCAAABA | 0101001000
CCAAACC | 0101001001
CCAABAB | 11101101000
CCAACBB | 0010101010
CCABACA | 11101101001
CCABBAA | 001011111
CCABBCA | 0110111000
CCACABA | 11100011010
CCACABC | 11101010111
CCACACA | 0011001110
CCACBAC | 0101000000
CCACBBC | 11000111010
CCACCAC | 1011111011
CCACCBC | 0101000001
CCBAAAA | 11101010100
CCBAAAB | 0110110110
CCBAABA | 11010000000
CCBAACA | 11111000100
CCBABAA | 11000011110
CCBABAB | 0001101110
CCBABBB | 1100001001
CCBACBA | 11000000111
CCBBAAA | 0000001100
CCBBABA | 11101001110
CCBBBAC | 11101011001
CCBBBCC | 11011010110
CCCAAAB | 0110010000
CCCABBB | 0100100110
CCCBABB | 0001010010
CCCBACA | 11011010100
CCCBBAB | 11100111100
CCCBBBA | 11110011010
CCCBBCC | 11000000010
CCCBCCA | 11100110110
CCCBCCB | 11000000011
CCCCBAC | 010101011
CCCCBBA | 11001010111
CCCCCAC | 10110101111
